tenant_id,quantity,total_price,payment_status,created_at,visitor_email,visitor_name,visitor_user_id,seed_key,ticket_type_id,currency,visit_date,status,id,created_date,updated_date,created_by_id,created_by,is_sample
"6a22c77fceb3a375126ca3a6","2","36","paid","2026-06-05T12:56:33.194Z","visitor.demo@scaverse.demo","Clara Lim","usr_visitor_001","order_ticket_heritage_adult","ticket_heritage_adult","SGD","2026-06-20","confirmed","6a22c781ebc0a5956bd2167b","2026-06-05T12:56:33.514000","2026-06-05T12:56:33.514000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"6a22c77fceb3a375126ca3a6","2","18","paid","2026-06-05T12:56:33.194Z","visitor.demo@scaverse.demo","Clara Lim","usr_visitor_001","order_ticket_heritage_student","ticket_heritage_student","SGD","2026-06-20","confirmed","6a22c781ebc0a5956bd2167c","2026-06-05T12:56:33.514000","2026-06-05T12:56:33.514000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"6a22c77fceb3a375126ca3a6","2","96","paid","2026-06-05T12:56:33.194Z","visitor.demo@scaverse.demo","Clara Lim","usr_visitor_001","order_ticket_heritage_family","ticket_heritage_family","SGD","2026-06-20","confirmed","6a22c781ebc0a5956bd2167d","2026-06-05T12:56:33.514000","2026-06-05T12:56:33.514000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"6a22c77fceb3a375126ca3a6","2","12","paid","2026-06-05T12:56:33.194Z","visitor.demo@scaverse.demo","Clara Lim","usr_visitor_001","order_ticket_heritage_virtual","ticket_heritage_virtual","SGD","2026-06-20","confirmed","6a22c781ebc0a5956bd2167e","2026-06-05T12:56:33.514000","2026-06-05T12:56:33.514000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"6a22c77fceb3a375126ca3a6","2","70","paid","2026-06-05T12:56:33.194Z","visitor.demo@scaverse.demo","Clara Lim","usr_visitor_001","order_ticket_heritage_guided_walk","ticket_heritage_guided_walk","SGD","2026-06-20","confirmed","6a22c781ebc0a5956bd2167f","2026-06-05T12:56:33.514000","2026-06-05T12:56:33.514000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"6a22c77fceb3a375126ca3a7","2","48","paid","2026-06-05T12:56:33.194Z","visitor.demo@scaverse.demo","Clara Lim","usr_visitor_001","order_ticket_science_adult","ticket_science_adult","SGD","2026-06-20","confirmed","6a22c781ebc0a5956bd21680","2026-06-05T12:56:33.514000","2026-06-05T12:56:33.514000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"6a22c77fceb3a375126ca3a7","2","24","paid","2026-06-05T12:56:33.194Z","visitor.demo@scaverse.demo","Clara Lim","usr_visitor_001","order_ticket_science_student","ticket_science_student","SGD","2026-06-20","confirmed","6a22c781ebc0a5956bd21681","2026-06-05T12:56:33.514000","2026-06-05T12:56:33.514000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"6a22c77fceb3a375126ca3a7","2","136","paid","2026-06-05T12:56:33.194Z","visitor.demo@scaverse.demo","Clara Lim","usr_visitor_001","order_ticket_science_family","ticket_science_family","SGD","2026-06-20","confirmed","6a22c781ebc0a5956bd21682","2026-06-05T12:56:33.514000","2026-06-05T12:56:33.514000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"6a22c77fceb3a375126ca3a7","2","18","paid","2026-06-05T12:56:33.194Z","visitor.demo@scaverse.demo","Clara Lim","usr_visitor_001","order_ticket_science_virtual","ticket_science_virtual","SGD","2026-06-20","confirmed","6a22c781ebc0a5956bd21683","2026-06-05T12:56:33.514000","2026-06-05T12:56:33.514000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"6a22c77fceb3a375126ca3a7","2","84","paid","2026-06-05T12:56:33.194Z","visitor.demo@scaverse.demo","Clara Lim","usr_visitor_001","order_ticket_science_lab","ticket_science_lab","SGD","2026-06-20","confirmed","6a22c781ebc0a5956bd21684","2026-06-05T12:56:33.514000","2026-06-05T12:56:33.514000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
