tenant_id,business_name,tenant_name,contact_name,logo_url,slot_type,description,products_count,revenue_total,website_url,phone,category,email,status,id,created_date,updated_date,created_by_id,created_by,is_sample
"6a220da4b282e8b27dbefda9","afqfeqfw","Asian Operatic Museum Singapore","wfwefwe","","anchor","","0","0","","","food_beverage","123@123.com","approved","6a239c259e1158bff1e71d5e","2026-06-06T04:03:49.639000","2026-06-06T13:26:19.653000","6a184d31314e50e0da76e9cd","kmuffins90@gmail.com","false"
"6a220da4b282e8b27dbefda9","qfeqf","Asian Operatic Museum Singapore","fqefqe","","standard","fqfqfqwqf","0","0","","fqefeqfqefqef","experiences","fqefqefqe@123.com","approved","6a239bd6066d1956957ef8cb","2026-06-06T04:02:30.017000","2026-06-06T13:26:22.529000","6a184d31314e50e0da76e9cd","kmuffins90@gmail.com","false"
"6a220da4b282e8b27dbefda9","AOM Demo Translation Partner","Asian Operatic Museum Singapore","Demo Contact","","standard","Safe demo vendor for translation partner. No private personal data is used.","5","0","https://example.com","+65 0000 0000","corporate_sponsor","demo-vendor-14@example.com","approved","6a220dacaaa5426caa4ab67f","2026-06-04T23:43:40.840000","2026-06-04T23:43:40.840000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"6a220da4b282e8b27dbefda9","AOM Demo Prop Fabricator","Asian Operatic Museum Singapore","Demo Contact","","standard","Safe demo vendor for prop fabricator. No private personal data is used.","3","0","https://example.com","+65 0000 0000","corporate_sponsor","demo-vendor-7@example.com","approved","6a220dacaaa5426caa4ab678","2026-06-04T23:43:40.840000","2026-06-04T23:43:40.840000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"6a220da4b282e8b27dbefda9","AOM Demo Book Publisher","Asian Operatic Museum Singapore","Demo Contact","","standard","Safe demo vendor for book publisher. No private personal data is used.","4","0","https://example.com","+65 0000 0000","education","demo-vendor-3@example.com","approved","6a220dacaaa5426caa4ab674","2026-06-04T23:43:40.840000","2026-06-04T23:43:40.840000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"6a220da4b282e8b27dbefda9","AOM Demo School Partner","Asian Operatic Museum Singapore","Demo Contact","","premium","Safe demo vendor for school partner. No private personal data is used.","5","0","https://example.com","+65 0000 0000","merchandise","demo-vendor-9@example.com","approved","6a220dacaaa5426caa4ab67a","2026-06-04T23:43:40.840000","2026-06-04T23:43:40.840000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"6a220da4b282e8b27dbefda9","AOM Demo Accessibility Reviewer","Asian Operatic Museum Singapore","Demo Contact","","premium","Safe demo vendor for accessibility reviewer. No private personal data is used.","4","0","https://example.com","+65 0000 0000","food_beverage","demo-vendor-13@example.com","approved","6a220dacaaa5426caa4ab67e","2026-06-04T23:43:40.840000","2026-06-04T23:43:40.840000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"6a220da4b282e8b27dbefda9","AOM Demo 3D Artist","Asian Operatic Museum Singapore","Demo Contact","","standard","Safe demo vendor for 3D artist. No private personal data is used.","4","0","https://example.com","+65 0000 0000","cultural_arts","demo-vendor-8@example.com","approved","6a220dacaaa5426caa4ab679","2026-06-04T23:43:40.840000","2026-06-04T23:43:40.840000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"6a220da4b282e8b27dbefda9","AOM Demo Event Partner","Asian Operatic Museum Singapore","Demo Contact","","standard","Safe demo vendor for event partner. No private personal data is used.","3","0","https://example.com","+65 0000 0000","experiences","demo-vendor-12@example.com","approved","6a220dacaaa5426caa4ab67d","2026-06-04T23:43:40.840000","2026-06-04T23:43:40.840000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"6a220da4b282e8b27dbefda9","AOM Demo XR Content Partner","Asian Operatic Museum Singapore","Demo Contact","","premium","Safe demo vendor for XR content partner. No private personal data is used.","6","0","https://example.com","+65 0000 0000","experiences","demo-vendor-5@example.com","approved","6a220dacaaa5426caa4ab676","2026-06-04T23:43:40.840000","2026-06-04T23:43:40.840000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
"6a220da4b282e8b27dbefda9","AOM Demo Workshop Facilitator","Asian Operatic Museum Singapore","Demo Contact","","standard","Safe demo vendor for workshop facilitator. No private personal data is used.","6","0","https://example.com","+65 0000 0000","education","demo-vendor-10@example.com","approved","6a220dacaaa5426caa4ab67b","2026-06-04T23:43:40.840000","2026-06-04T23:43:40.840000","service_6e8cd148-da5d-4e3c-b153-e2060ac972be","service+6e8cd148-da5d-4e3c-b153-e2060ac972be@no-reply.base44.com","false"
